"EP Code:n","EP Name"
"BCA","XXX"
"BCM","XXX"
"BNP","XXX"
"BOC","XXX"
"BSF","XXX"
"CCF","XXX"
"CCI","XXX"
"CCS","XXX"
"CES","XXX"
"CEV","XXX"
"CFB","XXX"
"CFS","XXX"
"CGM","XXX"
"DBT","XXX"
"EAF","XXX"
"EMP","XXX"
"ESS","XXX"
"FIT","XXX"
"FMP","XXX"
"FSF","XXX"
"GDS","XXX"
"GHF","XXX"
"GSA","XXX"
"HKB","XXX"
"HKF","XXX"
"IBG","XXX"
"ISS","XXX"
"JAF","XXX"
"JPM","XXX"
"KEF","XXX"
"KGI","XXX"
"MLF","XXX"
"MPF","XXX"
"MSA","XXX"
"NHA","XXX"
"NRA","XXX"
"PHL","XXX"
"PSL","XXX"
"QIL","XXX"
"QMS","XXX"
"SCC","XXX"
"SGS","XXX"
"SHK","XXX"
"SNP","XXX"
"SWF","XXX"
"TAN","XXX"
"TFF","XXX"
"UOB","XXX"
"UWD","XXX"
"VDC","XXX"
"YAF","XXX"
"T","51","19-10-2017"
