"Trade Date","EP Code","EP Name","Product Code","Strike","Option Type","Contract Month","EP OI Total Long","EP OI Total Short"
"23-12-2016","BSF","XXX","A50","","","12/2016","20",""
"23-12-2016","BSF","XXX","A50","","","01/2017","1",""
"23-12-2016","CHI","XXX","A50","","","12/2016","1",""
"23-12-2016","CHI","XXX","A50","","","03/2017","6",""
"23-12-2016","EAF","XXX","A50","","","06/2017","3",""
"23-12-2016","IBG","XXX","A50","","","12/2016","9",""
"23-12-2016","IBG","XXX","A50","","","01/2017","","11"
"23-12-2016","IBG","XXX","A50","","","06/2017","","3"
"23-12-2016","ISS","XXX","A50","","","12/2016","4",""
"23-12-2016","ISS","XXX","A50","","","01/2017","23",""
"23-12-2016","ISS","XXX","A50","","","03/2017","1",""
"23-12-2016","ISS","XXX","A50","","","06/2017","1",""
"23-12-2016","JPM","XXX","A50","","","12/2016","400",""
"23-12-2016","MPF","XXX","A50","","","12/2016","","438"
"23-12-2016","MPF","XXX","A50","","","01/2017","","16"
"23-12-2016","MPF","XXX","A50","","","03/2017","","7"
"23-12-2016","MPF","XXX","A50","","","06/2017","","1"
"23-12-2016","SHK","XXX","A50","","","01/2017","1",""
"23-12-2016","TFF","XXX","A50","","","12/2016","4",""
"23-12-2016","TFF","XXX","A50","","","01/2017","2",""
"23-12-2016","CHI","XXX","ABC","","","03/2017","1",""
"23-12-2016","ISS","XXX","ABC","","","03/2017","11",""
"23-12-2016","MPF","XXX","ABC","","","03/2017","","12"
"23-12-2016","CHI","XXX","ALC","","","12/2016","50",""
"23-12-2016","IBG","XXX","ALC","","","12/2016","","1"
"23-12-2016","IBG","XXX","ALC","","","01/2017","15",""
"23-12-2016","MPF","XXX","ALC","","","12/2016","","49"
"23-12-2016","MPF","XXX","ALC","","","01/2017","","15"
"23-12-2016","IBG","XXX","AMC","","","02/2017","6",""
"23-12-2016","ISS","XXX","AMC","","","12/2016","","1"
"23-12-2016","JAF","XXX","AMC","","","12/2016","30",""
"23-12-2016","JAF","XXX","AMC","","","03/2017","15",""
"23-12-2016","MPF","XXX","AMC","","","12/2016","","29"
"23-12-2016","MPF","XXX","AMC","","","02/2017","","6"
"23-12-2016","MPF","XXX","AMC","","","03/2017","20","35"
"23-12-2016","BSF","XXX","BCL","","","12/2016","10",""
"23-12-2016","CHI","XXX","BCL","","","01/2017","5",""
"23-12-2016","CHI","XXX","BCL","","","06/2017","30",""
"23-12-2016","IBG","XXX","BCL","","","12/2016","50",""
"23-12-2016","IBG","XXX","BCL","","","01/2017","","5"
"23-12-2016","IBG","XXX","BCL","","","06/2017","","10"
"23-12-2016","ISS","XXX","BCL","","","03/2017","25",""
"23-12-2016","ISS","XXX","BCL","","","06/2017","150",""
"23-12-2016","MPF","XXX","BCL","","","12/2016","","60"
"23-12-2016","MPF","XXX","BCL","","","03/2017","","41"
"23-12-2016","MPF","XXX","BCL","","","06/2017","","170"
"23-12-2016","TFF","XXX","BCL","","","03/2017","16",""
"23-12-2016","BSF","XXX","BCM","","","01/2017","5",""
"23-12-2016","IBG","XXX","BCM","","","06/2017","","10"
"23-12-2016","ISS","XXX","BCM","","","01/2017","","4"
"23-12-2016","MPF","XXX","BCM","","","01/2017","","1"
"23-12-2016","MPF","XXX","BCM","","","06/2017","10",""
"23-12-2016","IBG","XXX","BEA","","","01/2017","","50"
"23-12-2016","IBG","XXX","BEA","","","06/2017","","110"
"23-12-2016","MPF","XXX","BEA","","","01/2017","50",""
"23-12-2016","MPF","XXX","BEA","","","06/2017","110",""
"23-12-2016","IBG","XXX","BOC","","","02/2017","1",""
"23-12-2016","MPF","XXX","BOC","","","12/2016","","10"
"23-12-2016","MPF","XXX","BOC","","","02/2017","","1"
"23-12-2016","PHL","XXX","BOC","","","12/2016","10",""
"23-12-2016","BSF","XXX","CAU","","","01/2017","1",""
"23-12-2016","MLF","XXX","CAU","","","01/2017","3",""
"23-12-2016","SWF","XXX","CAU","","","03/2017","2",""
"23-12-2016","SWF","XXX","CAU","","","06/2017","2",""
"23-12-2016","UWD","XXX","CAU","","","01/2017","","4"
"23-12-2016","UWD","XXX","CAU","","","03/2017","","2"
"23-12-2016","UWD","XXX","CAU","","","06/2017","","2"
"23-12-2016","CHI","XXX","CCB","","","03/2017","100",""
"23-12-2016","IBG","XXX","CCB","","","12/2016","","4"
"23-12-2016","IBG","XXX","CCB","","","03/2017","","10"
"23-12-2016","ISS","XXX","CCB","","","12/2016","3","1"
"23-12-2016","ISS","XXX","CCB","","","01/2017","1",""
"23-12-2016","ISS","XXX","CCB","","","06/2017","20",""
"23-12-2016","MPF","XXX","CCB","","","12/2016","2",""
"23-12-2016","MPF","XXX","CCB","","","01/2017","","1"
"23-12-2016","MPF","XXX","CCB","","","03/2017","","100"
"23-12-2016","MPF","XXX","CCB","","","06/2017","","20"
"23-12-2016","TFF","XXX","CCB","","","03/2017","10",""
"23-12-2016","BSF","XXX","CCC","","","12/2016","40",""
"23-12-2016","CHI","XXX","CCC","","","01/2017","3",""
"23-12-2016","CHI","XXX","CCC","","","03/2017","13",""
"23-12-2016","CHI","XXX","CCC","","","06/2017","9",""
"23-12-2016","IBG","XXX","CCC","","","12/2016","","15"
"23-12-2016","IBG","XXX","CCC","","","01/2017","","8"
"23-12-2016","IBG","XXX","CCC","","","06/2017","","3"
"23-12-2016","ISS","XXX","CCC","","","01/2017","1",""
"23-12-2016","MPF","XXX","CCC","","","12/2016","","30"
"23-12-2016","MPF","XXX","CCC","","","01/2017","","24"
"23-12-2016","MPF","XXX","CCC","","","03/2017","","13"
"23-12-2016","MPF","XXX","CCC","","","06/2017","","6"
"23-12-2016","PHL","XXX","CCC","","","12/2016","5",""
"23-12-2016","QMS","XXX","CCC","","","01/2017","28",""
"23-12-2016","BSF","XXX","CDA","","","12/2016","1",""
"23-12-2016","MPF","XXX","CDA","","","12/2016","","1"
"23-12-2016","BSF","XXX","CEU","","","01/2017","4",""
"23-12-2016","CCS","XXX","CEU","","","03/2017","2",""
"23-12-2016","MLF","XXX","CEU","","","01/2017","","10"
"23-12-2016","MLF","XXX","CEU","","","03/2017","10",""
"23-12-2016","SNP","XXX","CEU","","","01/2017","","23"
"23-12-2016","SNP","XXX","CEU","","","02/2017","","10"
"23-12-2016","SNP","XXX","CEU","","","03/2017","","22"
"23-12-2016","SNP","XXX","CEU","","","06/2017","10",""
"23-12-2016","SWF","XXX","CEU","","","03/2017","2",""
"23-12-2016","SWF","XXX","CEU","","","06/2017","2",""
"23-12-2016","UWD","XXX","CEU","","","01/2017","29",""
"23-12-2016","UWD","XXX","CEU","","","02/2017","10",""
"23-12-2016","UWD","XXX","CEU","","","03/2017","8",""
"23-12-2016","UWD","XXX","CEU","","","06/2017","","12"
"23-12-2016","BNP","XXX","CHHF","","","12/2016","1","1"
"23-12-2016","BNP","XXX","CHHF","","","01/2017","","11"
"23-12-2016","MPF","XXX","CHHF","","","12/2016","","5"
"23-12-2016","MPF","XXX","CHHF","","","01/2017","16",""
"23-12-2016","MRH","XXX","CHHF","","","12/2016","5",""
"23-12-2016","MRH","XXX","CHHF","","","01/2017","","5"
"23-12-2016","BCM","XXX","CHT","","","12/2016","3",""
"23-12-2016","BSF","XXX","CHT","","","12/2016","20",""
"23-12-2016","BSF","XXX","CHT","","","01/2017","4",""
"23-12-2016","BSF","XXX","CHT","","","02/2017","","1"
"23-12-2016","BSF","XXX","CHT","","","03/2017","2",""
"23-12-2016","CHI","XXX","CHT","","","12/2016","91",""
"23-12-2016","CHI","XXX","CHT","","","01/2017","12",""
"23-12-2016","CHI","XXX","CHT","","","03/2017","1",""
"23-12-2016","HKB","XXX","CHT","","","01/2017","30",""
"23-12-2016","HKB","XXX","CHT","","","02/2017","9",""
"23-12-2016","IBG","XXX","CHT","","","12/2016","8",""
"23-12-2016","IBG","XXX","CHT","","","01/2017","","137"
"23-12-2016","IBG","XXX","CHT","","","02/2017","","45"
"23-12-2016","IBG","XXX","CHT","","","03/2017","29",""
"23-12-2016","IBG","XXX","CHT","","","06/2017","1",""
"23-12-2016","ISS","XXX","CHT","","","12/2016","75",""
"23-12-2016","ISS","XXX","CHT","","","01/2017","27",""
"23-12-2016","KGI","XXX","CHT","","","12/2016","5",""
"23-12-2016","MPF","XXX","CHT","","","12/2016","","236"
"23-12-2016","MPF","XXX","CHT","","","01/2017","65",""
"23-12-2016","MPF","XXX","CHT","","","03/2017","","40"
"23-12-2016","MPF","XXX","CHT","","","06/2017","","1"
"23-12-2016","PHL","XXX","CHT","","","12/2016","11",""
"23-12-2016","PHL","XXX","CHT","","","01/2017","5","19"
"23-12-2016","PHL","XXX","CHT","","","02/2017","","5"
"23-12-2016","PHL","XXX","CHT","","","03/2017","3",""
"23-12-2016","QMS","XXX","CHT","","","01/2017","8",""
"23-12-2016","QMS","XXX","CHT","","","02/2017","42",""
"23-12-2016","SHK","XXX","CHT","","","12/2016","2",""
"23-12-2016","SHK","XXX","CHT","","","03/2017","5",""
"23-12-2016","TFF","XXX","CHT","","","12/2016","12",""
"23-12-2016","WFF","XXX","CHT","","","12/2016","9",""
"23-12-2016","WFF","XXX","CHT","","","01/2017","5",""
"23-12-2016","BSF","XXX","CHU","","","12/2016","4",""
"23-12-2016","BSF","XXX","CHU","","","01/2017","","1"
"23-12-2016","BSF","XXX","CHU","","","06/2017","24",""
"23-12-2016","CHI","XXX","CHU","","","12/2016","2",""
"23-12-2016","CHI","XXX","CHU","","","03/2017","1",""
"23-12-2016","HKB","XXX","CHU","","","12/2016","5",""
"23-12-2016","HKB","XXX","CHU","","","01/2017","5",""
"23-12-2016","IBG","XXX","CHU","","","12/2016","","5"
"23-12-2016","ISS","XXX","CHU","","","01/2017","4","5"
"23-12-2016","MPF","XXX","CHU","","","12/2016","","6"
"23-12-2016","MPF","XXX","CHU","","","01/2017","","8"
"23-12-2016","MPF","XXX","CHU","","","03/2017","","1"
"23-12-2016","MPF","XXX","CHU","","","06/2017","","24"
"23-12-2016","QMS","XXX","CHU","","","01/2017","5",""
"23-12-2016","BSF","XXX","CIT","","","12/2016","11",""
"23-12-2016","BSF","XXX","CIT","","","01/2017","3",""
"23-12-2016","CHI","XXX","CIT","","","12/2016","7",""
"23-12-2016","CHI","XXX","CIT","","","06/2017","12",""
"23-12-2016","IBG","XXX","CIT","","","12/2016","","5"
"23-12-2016","IBG","XXX","CIT","","","06/2017","","1"
"23-12-2016","ISS","XXX","CIT","","","01/2017","","2"
"23-12-2016","MPF","XXX","CIT","","","12/2016","","13"
"23-12-2016","MPF","XXX","CIT","","","01/2017","","1"
"23-12-2016","MPF","XXX","CIT","","","06/2017","","11"
"23-12-2016","ISS","XXX","CJP","","","01/2017","3",""
"23-12-2016","MLF","XXX","CJP","","","01/2017","","2"
"23-12-2016","SWF","XXX","CJP","","","03/2017","3",""
"23-12-2016","UWD","XXX","CJP","","","01/2017","","1"
"23-12-2016","UWD","XXX","CJP","","","03/2017","","3"
"23-12-2016","BSF","XXX","CKH","","","12/2016","11",""
"23-12-2016","BSF","XXX","CKH","","","01/2017","4","2"
"23-12-2016","BSF","XXX","CKH","","","03/2017","","1"
"23-12-2016","BSF","XXX","CKH","","","06/2017","2",""
"23-12-2016","CHI","XXX","CKH","","","12/2016","5",""
"23-12-2016","CHI","XXX","CKH","","","01/2017","2",""
"23-12-2016","IBG","XXX","CKH","","","12/2016","","95"
"23-12-2016","IBG","XXX","CKH","","","01/2017","3",""
"23-12-2016","IBG","XXX","CKH","","","06/2017","159",""
"23-12-2016","ISS","XXX","CKH","","","12/2016","5",""
"23-12-2016","ISS","XXX","CKH","","","01/2017","1",""
"23-12-2016","ISS","XXX","CKH","","","02/2017","2",""
"23-12-2016","ISS","XXX","CKH","","","06/2017","10",""
"23-12-2016","MPF","XXX","CKH","","","12/2016","74",""
"23-12-2016","MPF","XXX","CKH","","","01/2017","","3"
"23-12-2016","MPF","XXX","CKH","","","03/2017","","9"
"23-12-2016","MPF","XXX","CKH","","","06/2017","","181"
"23-12-2016","PHL","XXX","CKH","","","01/2017","","11"
"23-12-2016","PHL","XXX","CKH","","","02/2017","","11"
"23-12-2016","PHL","XXX","CKH","","","03/2017","10",""
"23-12-2016","PHL","XXX","CKH","","","06/2017","10",""
"23-12-2016","QMS","XXX","CKH","","","01/2017","6",""
"23-12-2016","QMS","XXX","CKH","","","02/2017","9",""
"23-12-2016","BSF","XXX","CLI","","","12/2016","45","1"
"23-12-2016","BSF","XXX","CLI","","","06/2017","57",""
"23-12-2016","CCL","XXX","CLI","","","01/2017","4",""
"23-12-2016","CHI","XXX","CLI","","","12/2016","4",""
"23-12-2016","CHI","XXX","CLI","","","01/2017","11","5"
"23-12-2016","CHI","XXX","CLI","","","03/2017","3",""
"23-12-2016","EAF","XXX","CLI","","","12/2016","1",""
"23-12-2016","HKB","XXX","CLI","","","03/2017","5",""
"23-12-2016","IBG","XXX","CLI","","","12/2016","","67"
"23-12-2016","IBG","XXX","CLI","","","01/2017","12",""
"23-12-2016","IBG","XXX","CLI","","","02/2017","7","14"
"23-12-2016","IBG","XXX","CLI","","","03/2017","3","13"
"23-12-2016","IBG","XXX","CLI","","","06/2017","","62"
"23-12-2016","ISS","XXX","CLI","","","12/2016","3","25"
"23-12-2016","ISS","XXX","CLI","","","01/2017","27","33"
"23-12-2016","ISS","XXX","CLI","","","02/2017","2",""
"23-12-2016","ISS","XXX","CLI","","","03/2017","1",""
"23-12-2016","ISS","XXX","CLI","","","06/2017","1",""
"23-12-2016","MPF","XXX","CLI","","","12/2016","14",""
"23-12-2016","MPF","XXX","CLI","","","01/2017","","47"
"23-12-2016","MPF","XXX","CLI","","","02/2017","4",""
"23-12-2016","MPF","XXX","CLI","","","03/2017","","9"
"23-12-2016","MPF","XXX","CLI","","","06/2017","4",""
"23-12-2016","PHL","XXX","CLI","","","12/2016","5",""
"23-12-2016","PHL","XXX","CLI","","","01/2017","2","3"
"23-12-2016","PHL","XXX","CLI","","","03/2017","1",""
"23-12-2016","QMS","XXX","CLI","","","12/2016","19",""
"23-12-2016","QMS","XXX","CLI","","","01/2017","24",""
"23-12-2016","QMS","XXX","CLI","","","02/2017","1",""
"23-12-2016","QMS","XXX","CLI","","","03/2017","3",""
"23-12-2016","TFF","XXX","CLI","","","12/2016","2",""
"23-12-2016","TFF","XXX","CLI","","","03/2017","6",""
"23-12-2016","WFF","XXX","CLI","","","01/2017","8",""
"23-12-2016","BSF","XXX","CLP","","","12/2016","","6"
"23-12-2016","BSF","XXX","CLP","","","01/2017","","6"
