"EP Code:n","LOP A/C No:n","A/C Name","Reported BI Name","Reported TO Name","BI/Omni Code","BI Name","Mother BI/Omni Code","BI TO Code","BI TO Name"
"AIM","THK32","XXX","XXX","XXX","IND_0007","XXX","","BIT_0146","XXX"
"BBL","F00801","XXX","XXX","XXX","IND_0001","XXX","","","XXX"
"BBL","F02979","XXX","XXX","XXX","INS_0075","XXX","","","XXX"
"BBL","FI002","XXX","XXX","XXX","INV_0018","XXX","","","XXX"
"BBL","FW001","XXX","XXX","XXX","IND_0003","XXX","","","XXX"
"BCA","101L1600","XXX","XXX","XXX","HED_0261","XXX","","BIT_0225","XXX"
"BCA","101L1601","XXX","XXX","XXX","HED_0373","XXX","","BIT_0225","XXX"
"BCA","101L1602","XXX","XXX","XXX","HED_0374","XXX","","BIT_0225","XXX"
"BCA","102-30242","XXX","XXX","XXX","HED_0119","XXX","OMN_0049","BIT_0214","XXX"
"BCA","102-30299","XXX","XXX","XXX","HED_0118","XXX","OMN_0049","BIT_0214","XXX"
"BCA","2718C","XXX","XXX","XXX","HED_0670","XXX","","BIT_0064","XXX"
"BCA","2736C","XXX","XXX","XXX","HED_0671","XXX","","BIT_0064","XXX"
"BCA","2746C","XXX","XXX","XXX","HED_0669","XXX","","BIT_0064","XXX"
"BCA","2748C","XXX","XXX","XXX","HED_0677","XXX","","BIT_0064","XXX"
"BCA","2773C","XXX","XXX","XXX","HED_1011","XXX","","BIT_0064","XXX"
"BCA","2794C","XXX","XXX","XXX","HED_1079","XXX","","BIT_0064","XXX"
"BCA","303922","XXX","XXX","XXX","INS_1135","XXX","","BIT_0056","XXX"
"BCA","304267","XXX","XXX","XXX","INS_1212","XXX","","BIT_0056","XXX"
"BCA","3183209A","XXX","XXX","XXX","UNC_2997","XXX","","","XXX"
"BCA","55557-41468352","XXX","XXX","XXX","HED_1023","XXX","","","XXX"
"BCA","656-01199-2-4","XXX","XXX","XXX","IND_0096","XXX","","","XXX"
"BCA","656-02138-2-6","XXX","XXX","XXX","INS_1621","XXX","","BIT_0905","XXX"
"BCA","731S8000","XXX","XXX","XXX","OMN_0088","XXX","","","XXX"
"BCA","8000","XXX","XXX","XXX","OMN_0329","XXX","","","XXX"
"BCA","8000-01018","XXX","XXX","XXX","OMN_0246","XXX","","","XXX"
"BCA","8000-01022","XXX","XXX","XXX","OMN_0248","XXX","","","XXX"
"BCA","8000-01032","XXX","XXX","XXX","OMN_0096","XXX","","","XXX"
"BCA","8000-01033","XXX","XXX","XXX","GPR_0049","XXX","","","XXX"
"BCA","8000-01035","XXX","XXX","XXX","INV_0037","XXX","","","XXX"
"BCA","8000-01036","XXX","XXX","XXX","GPR_0019","XXX","","","XXX"
"BCA","8000-01037","XXX","XXX","XXX","INS_0447","XXX","","","XXX"
"BCA","8000-01038","XXX","XXX","XXX","INV_0037","XXX","","","XXX"
"BCA","8000-01039","XXX","XXX","XXX","INS_0721","XXX","","","XXX"
"BCA","8000-01041","XXX","XXX","XXX","OMN_0178","XXX","","","XXX"
"BCA","8000-01046","XXX","XXX","XXX","OMN_0096","XXX","","","XXX"
"BCA","8000-01051","XXX","XXX","XXX","OMN_0315","XXX","","","XXX"
"BCA","8000-01054","XXX","XXX","XXX","OMN_0317","XXX","","","XXX"
"BCA","8000-01056","XXX","XXX","XXX","GPR_0019","XXX","","","XXX"
"BCA","8000-01058","XXX","XXX","XXX","HED_0716","XXX","","BIT_0484","XXX"
"BCA","8000-01061","XXX","XXX","XXX","OMN_0246","XXX","","","XXX"
"BCA","8000-01066","XXX","XXX","XXX","INV_0037","XXX","","","XXX"
"BCA","8000-01073","XXX","XXX","XXX","INV_0037","XXX","","","XXX"
"BCA","8000-01074","XXX","XXX","XXX","INV_0037","XXX","","","XXX"
"BCA","8000-01078","XXX","XXX","XXX","INS_0843","XXX","","","XXX"
"BCA","8000-01080","XXX","XXX","XXX","INS_0757","XXX","","","XXX"
"BCA","8000-01086","XXX","XXX","XXX","HED_0592","XXX","","","XXX"
"BCA","8000-01091","XXX","XXX","XXX","INS_0868","XXX","","","XXX"
"BCA","8000-01093","XXX","XXX","XXX","INS_0868","XXX","","","XXX"
"BCA","8000-01094","XXX","XXX","XXX","INV_0037","XXX","","","XXX"
"BCA","8000-01096","XXX","XXX","XXX","OMN_0282","XXX","","","XXX"
"BCA","8000-01097","XXX","XXX","XXX","OMN_0316","XXX","","","XXX"
"BCA","8000-01098","XXX","XXX","XXX","OMN_0316","XXX","","","XXX"
"BCA","8000-01099","XXX","XXX","XXX","INV_0037","XXX","","","XXX"
"BCA","8000-01102","XXX","XXX","XXX","INV_0037","XXX","","","XXX"
"BCA","8000-01106","XXX","XXX","XXX","INS_0970","XXX","","","XXX"
"BCA","8000-01114","XXX","XXX","XXX","OMN_0315","XXX","","","XXX"
"BCA","8000-01116","XXX","XXX","XXX","INS_0597","XXX","","","XXX"
"BCA","8000-01121","XXX","XXX","XXX","INV_0037","XXX","","","XXX"
"BCA","8000-01122","XXX","XXX","XXX","INS_1124","XXX","","","XXX"
"BCA","8000-01123","XXX","XXX","XXX","INS_1157","XXX","","","XXX"
"BCA","8000-01131","XXX","XXX","XXX","INS_0597","XXX","","","XXX"
"BCA","8000-1255A","XXX","XXX","XXX","HED_0716","XXX","","","XXX"
"BCA","8000-1422A","XXX","XXX","XXX","OMN_0096","XXX","","","XXX"
"BCA","8000-2125B","XXX","XXX","XXX","OMN_0317","XXX","","","XXX"
"BCA","8000-2140A","XXX","XXX","XXX","OMN_0315","XXX","","","XXX"
"BCA","8000-2395A","XXX","XXX","XXX","INS_0970","XXX","OMN_0329","","XXX"
"BCA","8000-2395B","XXX","XXX","XXX","OMN_0316","XXX","OMN_0329","","XXX"
