"Trade Date","EP Code","LOP A/C No","BI/Omni Code","BI TO Code","A/C Nature","A/C Type","Product Code","Strike","Option Type","Contract Month","LOP OI Long","LOP OI Short","LOP PD"
"23-12-2016","MLF","95U06165","INS_1528","","T","C","CAU",""," ","01/2017","3","",""
"23-12-2016","UWD","008H7708","GPR_0072","","HG","C","CAU",""," ","01/2017","","4",""
"23-12-2016","UWD","008H7708","GPR_0072","","HG","C","CAU",""," ","03/2017","","2",""
"23-12-2016","UWD","008H7708","GPR_0072","","HG","C","CAU",""," ","06/2017","","2",""
"23-12-2016","UWD","00FSBCMM","OMN_0041","","HG/T","RT","CAU",""," ","01/2017","","4",""
"23-12-2016","UWD","00FSBCMM","OMN_0041","","HG/T","RT","CAU",""," ","03/2017","","2",""
"23-12-2016","UWD","00FSBCMM","OMN_0041","","HG/T","RT","CAU",""," ","06/2017","","2",""
"23-12-2016","MLF","95U06165","INS_1528","","T","C","CEU",""," ","01/2017","","10",""
"23-12-2016","MLF","95U06165","INS_1528","","T","C","CEU",""," ","03/2017","10","",""
"23-12-2016","UWD","008H7708","GPR_0072","","HG","C","CEU",""," ","01/2017","29","",""
"23-12-2016","UWD","008H7708","GPR_0072","","HG","C","CEU",""," ","02/2017","10","",""
"23-12-2016","UWD","008H7708","GPR_0072","","HG","C","CEU",""," ","03/2017","8","",""
"23-12-2016","UWD","008H7708","GPR_0072","","HG","C","CEU",""," ","06/2017","","12",""
"23-12-2016","UWD","00FSBCMM","OMN_0041","","HG/T","RT","CEU",""," ","01/2017","29","",""
"23-12-2016","UWD","00FSBCMM","OMN_0041","","HG/T","RT","CEU",""," ","02/2017","10","",""
"23-12-2016","UWD","00FSBCMM","OMN_0041","","HG/T","RT","CEU",""," ","03/2017","8","",""
"23-12-2016","UWD","00FSBCMM","OMN_0041","","HG/T","RT","CEU",""," ","06/2017","","12",""
"23-12-2016","BNP","BPSS SG","OMN_0304","","T","C","CHHF",""," ","12/2016","1","","1"
"23-12-2016","BNP","BPSS SG","OMN_0304","","T","C","CHHF",""," ","12/2016","","1","-1"
"23-12-2016","BNP","BPSS SG","OMN_0304","","T","C","CHHF",""," ","01/2017","","11","-11"
"23-12-2016","BNP","KIS","OMN_0316","","T","C","CHHF",""," ","12/2016","1","","1"
