"Trade Date","TO Code","EP Code","LOP A/C No","A/C Type","A/C Nature","Product Code","Strike","Option Type","Contract Month","LOP OI Long","LOP OI Short","LOP PD"
"23-12-2016","TOT_0015","CFB","YZOCQ","C","T","DHH",""," ","12/2017","","150",""
"23-12-2016","TOT_0050","CFB","YJXOE","C","T","DHH",""," ","12/2018","500","",""
"23-12-2016","TOT_0050","CFB","YMHTZ","C","T","DHH",""," ","12/2018","500","",""
"23-12-2016","TOT_0111","CFB","PAZTR","C","T","DHH",""," ","12/2017","1167","",""
"23-12-2016","TOT_0114","GSA","B50058560","C","T","DHH","","","12/2016","","6891",""
"23-12-2016","TOT_0114","GSA","B50058560","C","T","DHH","","","12/2017","2500","",""
"23-12-2016","TOT_0114","CFB","YVTWY","C","T","DHH",""," ","12/2016","15891","",""
"23-12-2016","TOT_0114","CFB","YVTWY","C","T","DHH",""," ","12/2017","3275","",""
"23-12-2016","TOT_0172","GSA","B50043772","C","HG","DHH","","","12/2016","300","",""
"23-12-2016","TOT_0172","GSA","B50043772","C","HG","DHH","","","12/2017","1800","",""
"23-12-2016","TOT_0172","GSA","B50043772","C","HG","DHH","","","12/2018","","1200",""
"23-12-2016","TOT_0172","GSA","B50043772","C","HG","DHH","","","12/2019","300","",""
"23-12-2016","TOT_0048","CFB","YYJTG","C","T","DHS",""," ","12/2016","650","",""
"23-12-2016","TOT_0003","CFB","303442","C","T","HHIF","","","01/2017","76","","76"
"23-12-2016","TOT_0003","CFB","305831","C","T","HHIF","","","01/2017","3","","3"
"23-12-2016","TOT_0003","BCA","307131","C","T","HHIF","","","01/2017","3","","3"
"23-12-2016","TOT_0003","CFB","307153","C","T","HHIF","","","01/2017","16","","16"
"23-12-2016","TOT_0003","BCA","307200","C","T","HHIF","","","01/2017","1","","1"
"23-12-2016","TOT_0003","BCA","307203","C","T","HHIF","","","01/2017","2","","2"
"23-12-2016","TOT_0003","MSA","541998","C","T","HHIF","","","01/2017","","169","-169"
"23-12-2016","TOT_0003","MSA","542159","C","T","HHIF","","","01/2017","","20","-20"
"23-12-2016","TOT_0003","MSA","542207","C","T","HHIF","","","01/2017","5","","5"
"23-12-2016","TOT_0003","MSA","561688","C","T","HHIF","","","01/2017","","91","-91"
"23-12-2016","TOT_0003","MSA","568491","C","T","HHIF","","","01/2017","4","","4"
"23-12-2016","TOT_0003","MSA","568576","C","T","HHIF","","","01/2017","","17","-17"
"23-12-2016","TOT_0003","MSA","568578","C","T","HHIF","","","01/2017","","77","-77"
"23-12-2016","TOT_0003","MSA","574363","C","T","HHIF","","","01/2017","","144","-144"
"23-12-2016","TOT_0003","MSA","575046","C","T","HHIF","","","01/2017","","165","-165"
"23-12-2016","TOT_0003","MSA","575053","C","T","HHIF","","","01/2017","","194","-194"
"23-12-2016","TOT_0003","MSA","576115","C","T","HHIF","","","01/2017","","5","-5"
"23-12-2016","TOT_0003","MSA","576133","C","T","HHIF","","","01/2017","","5","-5"
"23-12-2016","TOT_0003","MSA","576561","C","T","HHIF","","","01/2017","","46","-46"
"23-12-2016","TOT_0003","MSA","576577","C","T","HHIF","","","01/2017","","55","-55"
"23-12-2016","TOT_0003","MSA","577878","C","T","HHIF","","","01/2017","","49","-49"
"23-12-2016","TOT_0003","MSA","577890","C","T","HHIF","","","01/2017","","48","-48"
"23-12-2016","TOT_0007","GSA","50058035","C","T","HHIF",""," ","01/2017","100","","100"
"23-12-2016","TOT_0007","VDC","718253-8","C","T","HHIF",""," ","01/2017","373","","373"
"23-12-2016","TOT_0007","HKB","CH927A","C","T","HHIF",""," ","01/2017","761","","761"
"23-12-2016","TOT_0008","MSA","05AMFGR18","C","T","HHIF",""," ","01/2017","","1","-1"
"23-12-2016","TOT_0008","BCA","2732C","C","T","HHIF",""," ","01/2017","38","","38"
"23-12-2016","TOT_0008","CFB","2G51V","C","T","HHIF",""," ","01/2017","","3","-3"
"23-12-2016","TOT_0008","CFB","2X9T6","C","T","HHIF",""," ","01/2017","","1","-1"
"23-12-2016","TOT_0008","FIT","412-34604","C","T","HHIF",""," ","01/2017","","1","-1"
"23-12-2016","TOT_0008","FIT","A520","C","T","HHIF",""," ","01/2017","","3","-3"
"23-12-2016","TOT_0012","MSA","05ABADI71","C","T","HHIF",""," ","12/2016","","25","-25"
"23-12-2016","TOT_0012","MSA","05ABADI71","C","T","HHIF",""," ","01/2017","50","","50"
"23-12-2016","TOT_0012","CFB","22XFE","C","T","HHIF",""," ","12/2016","5","","5"
"23-12-2016","TOT_0012","CFB","2FTM0","C","T","HHIF",""," ","12/2016","154","","154"
"23-12-2016","TOT_0012","CFB","2FTM0","C","T","HHIF",""," ","01/2017","","1","-1"
"23-12-2016","TOT_0012","CFB","2TGGW","C","T","HHIF",""," ","12/2016","3","","3"
"23-12-2016","TOT_0012","CFB","73907","C","T","HHIF",""," ","12/2016","54","","54"
"23-12-2016","TOT_0012","CFB","73907","C","T","HHIF",""," ","01/2017","","1","-1"
"23-12-2016","TOT_0012","CFB","YZ7BC","C","T","HHIF",""," ","12/2016","19","","19"
"23-12-2016","TOT_0013","CFB","YNIK1","C","T","HHIF",""," ","01/2017","2","","2"
"23-12-2016","TOT_0013","CFB","YZ3FV","C","T","HHIF",""," ","12/2016","1175","","1175"
"23-12-2016","TOT_0015","CFB","20A0T","C","T","HHIF",""," ","01/2017","10","","10"
"23-12-2016","TOT_0015","CFB","2WK2F","C","T","HHIF",""," ","01/2017","","11","-11"
"23-12-2016","TOT_0015","CFB","YAAT1","C","T","HHIF",""," ","01/2017","","37","-37"
"23-12-2016","TOT_0015","CFB","YADL0","C","T","HHIF",""," ","01/2017","","3","-3"
"23-12-2016","TOT_0015","CFB","YAEX2","C","T","HHIF",""," ","12/2016","","970","-970"
"23-12-2016","TOT_0015","CFB","YAFN1","C","T","HHIF",""," ","01/2017","","4","-4"
"23-12-2016","TOT_0015","CFB","YAGE1","C","T","HHIF",""," ","12/2016","","237","-237"
"23-12-2016","TOT_0015","CFB","YAGE1","C","T","HHIF",""," ","01/2017","","141","-141"
"23-12-2016","TOT_0015","CFB","YAGE2","C","T","HHIF",""," ","12/2016","","361","-361"
"23-12-2016","TOT_0015","CFB","YAGE2","C","T","HHIF",""," ","01/2017","","214","-214"
"23-12-2016","TOT_0015","CFB","YAIS1","C","T","HHIF",""," ","01/2017","","6","-6"
"23-12-2016","TOT_0015","CFB","YAIS3","C","T","HHIF",""," ","01/2017","","77","-77"
"23-12-2016","TOT_0015","CFB","YALP7","C","T","HHIF",""," ","01/2017","","58","-58"
"23-12-2016","TOT_0015","CFB","YDES1","C","T","HHIF",""," ","12/2016","","384","-384"
"23-12-2016","TOT_0015","CFB","YDES1","C","T","HHIF",""," ","01/2017","","281","-281"
"23-12-2016","TOT_0015","CFB","YDIV0","C","T","HHIF",""," ","01/2017","","13","-13"
"23-12-2016","TOT_0015","CFB","YDPC1","C","T","HHIF",""," ","01/2017","","29","-29"
"23-12-2016","TOT_0015","CFB","YGIL2","C","T","HHIF",""," ","01/2017","","10","-10"
"23-12-2016","TOT_0015","CFB","YHKF1","C","T","HHIF",""," ","01/2017","","11","-11"
"23-12-2016","TOT_0015","CFB","YMAN1","C","T","HHIF",""," ","01/2017","","32","-32"
"23-12-2016","TOT_0015","CFB","YMFD2","C","T","HHIF",""," ","01/2017","","6","-6"
"23-12-2016","TOT_0015","CFB","YYXOI","C","T","HHIF",""," ","12/2016","","42","-42"
"23-12-2016","TOT_0015","CFB","YYXOI","C","T","HHIF",""," ","01/2017","","2","-2"
"23-12-2016","TOT_0015","CFB","YYXOP","C","T","HHIF",""," ","01/2017","3","","3"
"23-12-2016","TOT_0015","CFB","YYXOQ","C","T","HHIF",""," ","12/2016","","18","-18"
"23-12-2016","TOT_0015","CFB","YZYDH","C","T","HHIF",""," ","12/2016","","38","-38"
"23-12-2016","TOT_0017","MSA","045-616XJ3","RT","T","HHIF",""," ","01/2017","3","","3"
"23-12-2016","TOT_0017","MSA","045-620RY9","RT","T","HHIF",""," ","01/2017","61","","61"
"23-12-2016","TOT_0017","MSA","045-620UP4","RT","T","HHIF",""," ","01/2017","24","","24"
"23-12-2016","TOT_0017","MSA","052-BAHLM4","RT","T","HHIF",""," ","01/2017","5","","5"
"23-12-2016","TOT_0017","MSA","05A-BAEFW7","RT","T","HHIF",""," ","01/2017","8","","8"
"23-12-2016","TOT_0017","MSA","05A-BAG2C0","RT","T","HHIF",""," ","01/2017","1","","1"
"23-12-2016","TOT_0017","MSA","05A-MFAS1","RT","T","HHIF",""," ","01/2017","5","","5"
"23-12-2016","TOT_0017","MSA","05A-MFAS2","RT","T","HHIF",""," ","01/2017","4","","4"
"23-12-2016","TOT_0017","MSA","05A-MFAS3","RT","T","HHIF",""," ","01/2017","3","","3"
"23-12-2016","TOT_0017","MSA","05A-MFAS4","RT","T","HHIF",""," ","01/2017","10","","10"
"23-12-2016","TOT_0017","UOB","11606222","RT","T","HHIF",""," ","01/2017","2","","2"
"23-12-2016","TOT_0017","SGS","2000MC22","RT","T","HHIF",""," ","01/2017","7","","7"
"23-12-2016","TOT_0017","SGS","2000MC42","RT","T","HHIF",""," ","01/2017","5","","5"
"23-12-2016","TOT_0017","CFB","2035F","RT","T","HHIF",""," ","01/2017","244","","244"
"23-12-2016","TOT_0017","CFB","2XR6E","RT","T","HHIF",""," ","01/2017","7","","7"
"23-12-2016","TOT_0017","CFB","2YW9D","RT","T","HHIF",""," ","01/2017","24","","24"
"23-12-2016","TOT_0017","SGS","412 35034","RT","T","HHIF",""," ","01/2017","12","","12"
"23-12-2016","TOT_0017","SGS","412 36502","RT","T","HHIF",""," ","01/2017","3","","3"
"23-12-2016","TOT_0017","SGS","412 37509","RT","T","HHIF",""," ","01/2017","49","","49"
"23-12-2016","TOT_0017","SGS","412 37518","RT","T","HHIF",""," ","01/2017","32","","32"
"23-12-2016","TOT_0017","MLF","41D-11138","RT","T","HHIF",""," ","01/2017","21","","21"
"23-12-2016","TOT_0017","JPM","75929","RT","T","HHIF",""," ","01/2017","2","","2"
