EP Code,LOP A/C No,A/C Name,Reported BI Name,Reported TO Name,BI/Omni Code,BI Name,Mother BI/Omni Code,BI TO Code,BI TO Name
BBL,F0009,New Smarter Trading Ltd,China Eagle Group Co. Ltd.,,INS_0001,China Eagle Group Co. Ltd.,,,
BBL,FI002,ISS Group Ltd,ISS Group Ltd,,INV_0081,ISS Group Ltd,,,
BCA,101L1900,Orbis Optmal USD Fund Ltd,Orbis Optmal USD Fund Ltd,Orbis Investment Management Limited,HED_0123,Orbis Optimal USD Fund Ltd,,BIT_0001,Orbis Investment Management Limited
BCA,101L1901,Orbis Optimal SA Fund Ltd,Orbis Optimal SA Fund Ltd,Orbis Investment Management Limited,HED_0124,Orbis Optimal SA Fund Ltd,,BIT_0001,Orbis Investment Management Limited
BCA,101L1902,Orbis Optimal Global Fund Ltd,Orbis Optimal Global Fund Ltd,Orbis Investment Management Limited,HED_0125,Orbis Optimal Global Fund Ltd,,BIT_0001,Orbis Investment Management Limited
BCA,012-30242,Bear Stearns Securities Corp. Customer Omnibus Account,Ritchie Opportunistic Trading Ltd,"Ritchie Capital Management, LLC",HED_0126,Ritchie Opportunistic Trading Ltd,OMN_0004,BIT_0002,"Ritchie Capital Management, LLC"
BCA,012-30299,Bear Stearns Securities Corp. Customer Omnibus Account,Ritchie Global Relative Trading Limited,"Ritchie Capital Management, LLC",HED_0127,Ritchie Global Relative Trading Limited,OMN_0004,BIT_0002,"Ritchie Capital Management, LLC"
BCA,8718C,Macro Diversified Opportunity (GMS),Macro Diversified Opportunity (GMS),Graham Capital Management,HED_0128,Macro Diversified Opportunity (GMS),,BIT_0003,"Graham Capital Management, LP"
BCA,8736C,Macro Commodity Discretionary (GMS),Macro Commodity Discretionary (GMS),Graham Capital Management,HED_0129,Macro Commodity Discretionary (GMS),,BIT_0003,"Graham Capital Management, LP"
BCA,8746C,USQMN - Macro Asia Focus,USQMN - Macro Asia Focus,Graham Capital Management,HED_0130,Macro Asia Focus,,BIT_0003,"Graham Capital Management, LP"
