TO Code,LOP A/C No,A/C Name,Reported BI Name,Reported TO Name,TO BI Code,TO BI Name
TOT_0001,(WAT)DOMINSON,,,DOMINION,,
TOT_0001,(BCF)DOMINSON,,,DOMINION,,
TOT_0001,(BOC)DOMINSON,,,DOMINION,,
TOT_0001,(CLF)DOMINSON,,,DOMINION,,
TOT_0001,(HOA)DOMINSON,,,DOMINION,,
TOT_0001,(JPM)DOMINSON,,,DOMINION,,
TOT_0001,(MLF)DOMINSON,,,DOMINION,,
TOT_0002,(FIT)753907A,BBCL-BTFE-EK Asia Fund,EK Asia Fund,EK Investment Management Limited,TOB_0001,EK Asia Fund
TOT_0002,(CLF)0698128,EK Investment Management Ltd A/C EK Global Hedge Fund Ltd,EK Global Hedge Fund,EK Investment Management Limited,TOB_0002,EK Global Hedge Fund
TOT_0002,(FIT)7253905,EK Investment Management Limited A/C EK Global Hedge Fund Ltd,EK Global Hedge Fund,EK Investment Management Limited,TOB_0002,EK Global Hedge Fund
TOT_0002,(FIT)7253912,BBCI-BTFE-EK Hong Kong and China Fund,EK Hong Kong and China Fund,EK Investment Management Limited,TOB_0003,EK Hong Kong and China Fund
TOT_0003,(JPM)82915,GSAM Int for Fondor SICAV,Fondor SICAV,Goldman Sachs Asset Management,TOB_0004,Fondor SICAV
TOT_0003,(JPM)82916,GSAM Int for Fondor SICAV,Fondor SICAV,Goldman Sachs Asset Management,TOB_0004,Fondor SICAV
TOT_0003,300E31,BRENCA FONDOR GTAA,Fondor Sicav,GOLDMAN SACHS ASSET MANAGEMENT,TOB_0004,Fondor SICAV
TOT_0003,300E31,BRENCA FONDOR BALANCED GTAA,Fondor Sicav,GOLDMAN SACHS ASSET MANAGEMENT,TOB_0004,Fondor SICAV
TOT_0003,(MLF)59U0846x,STATE STREET BANK AS TRUSTEE FOR GENERAL MOTORS WELFARE TRUST,General Motors Welfare Trust,GOLDMAN SACHS ASSET MANAGEMENT,TOB_0005,General Motors Welfare Trust
TOT_0003,(JPM)81590,GOLD MAN SACHS A.M. SGR FOR GEO FUND,GEO FUNDS,GOLDMAN SACHS ASSET MANAGEMENT,TOB_0007,GEO FUNDS
TOT_0003,(JPM)81591,GOLDMAN SACHS A.M. SQR FOR GEO FUNDS,GEO FUNDS,GOLDMAN SACHS ASSET MANAGEMENT,TOB_0007,GEO FUNDS
TOT_0003,(JPM)82403,GSAM INT FOR GERANA HOLDINGS,GERANA HOLDINGS,GOLDMAN SACHS ASSET MANAGEMENT,TOB_0008,Gerana Holdings S.A.
TOT_0003,300431,BRENCA GERANA GTAA,Gerana SA,GOLDMAN SACHS ASSET MANAGEMENT,TOB_0008,Gerana Holdings S.A.
TOT_0003,(MLF)97A08174,Royal Trust as Trustee for GM Hourly Employees' Retirement Fund,GM Hourly Rate Employees' Retirement Fund,Goldman Sachs Asset Management,TOB_0009,General Motors Hourly-Rate Employees Pension Trust 
